Date,Bitcoin
2016-10-05,3.0
2016-10-06,2.757575757575758
2016-10-07,2.8484848484848486
2016-10-08,2.9393939393939394
2016-10-09,2.8484848484848486
2016-10-10,2.9696969696969697
2016-10-11,3.4242424242424243
2016-10-12,3.272727272727273
2016-10-13,3.2424242424242427
2016-10-14,3.0303030303030303
2016-10-15,2.8484848484848486
2016-10-16,3.0
2016-10-17,3.272727272727273
2016-10-18,3.090909090909091
2016-10-19,3.2121212121212124
2016-10-20,2.878787878787879
2016-10-21,3.0
2016-10-22,3.303030303030303
2016-10-23,3.303030303030303
2016-10-24,3.3636363636363638
2016-10-25,3.272727272727273
2016-10-26,3.3333333333333335
2016-10-27,3.606060606060606
2016-10-28,3.666666666666667
2016-10-29,3.9696969696969697
2016-10-30,3.666666666666667
2016-10-31,3.606060606060606
2016-11-01,3.0
2016-11-02,3.0
2016-11-03,3.0
2016-11-04,3.0
2016-11-05,3.0
2016-11-06,3.0
2016-11-07,3.0
2016-11-08,3.0
2016-11-09,3.0
2016-11-10,3.0
2016-11-11,3.0
2016-11-12,3.0
2016-11-13,3.0
2016-11-14,3.0
2016-11-15,3.0
2016-11-16,3.0
2016-11-17,3.0
2016-11-18,3.0
2016-11-19,3.0
2016-11-20,3.0
2016-11-21,3.0
2016-11-22,3.0
2016-11-23,3.0
2016-11-24,3.0
2016-11-25,3.0
2016-11-26,3.0
2016-11-27,3.0
2016-11-28,3.0
2016-11-29,3.0
2016-11-30,3.0
2016-12-01,5.0
2016-12-02,5.608695652173913
2016-12-03,4.739130434782608
2016-12-04,4.826086956521739
2016-12-05,5.3478260869565215
2016-12-06,5.608695652173913
2016-12-07,5.173913043478261
2016-12-08,5.608695652173913
2016-12-09,5.173913043478261
2016-12-10,5.173913043478261
2016-12-11,4.739130434782608
2016-12-12,4.739130434782608
2016-12-13,5.3478260869565215
2016-12-14,4.826086956521739
2016-12-15,4.6521739130434785
2016-12-16,5.260869565217392
2016-12-17,5.173913043478261
2016-12-18,4.739130434782608
2016-12-19,4.826086956521739
2016-12-20,5.0
2016-12-21,6.913043478260869
2016-12-22,8.391304347826086
2016-12-23,9.347826086956522
2016-12-24,7.521739130434782
2016-12-25,7.0
2016-12-26,6.565217391304348
2016-12-27,7.434782608695652
2016-12-28,8.652173913043478
2016-12-29,8.73913043478261
2016-12-30,8.130434782608695
2016-12-31,7.0
2017-01-01,0
2017-01-02,0
2017-01-03,0
2017-01-04,0
2017-01-05,0
2017-01-06,0
2017-01-07,0
2017-01-08,0
2017-01-09,0
2017-01-10,0
2017-01-11,0
2017-01-12,0
2017-01-13,0
2017-01-14,0
2017-01-15,0
2017-01-16,0
2017-01-17,0
2017-01-18,0
2017-01-19,0
2017-01-20,0
2017-01-21,0
2017-01-22,0
2017-01-23,0
2017-01-24,0
2017-01-25,0
2017-01-26,0
2017-01-27,0
2017-01-28,0
2017-01-29,0
2017-01-30,0
2017-01-31,0
2017-02-01,5.0
2017-02-02,6.0
2017-02-03,7.0
2017-02-04,4.0
2017-02-05,3.0
2017-02-06,3.25
2017-02-07,4.25
2017-02-08,6.25
2017-02-09,7.75
2017-02-10,6.0
2017-02-11,4.0
2017-02-12,1.75
2017-02-13,3.25
2017-02-14,2.25
2017-02-15,2.0
2017-02-16,3.5
2017-02-17,2.5
2017-02-18,3.25
2017-02-19,1.25
2017-02-20,1.5
2017-02-21,7.5
2017-02-22,6.5
2017-02-23,9.5
2017-02-24,13.5
2017-02-25,6.5
2017-02-26,4.0
2017-02-27,5.5
2017-02-28,7.25
2017-03-01,4.0
2017-03-02,8.200000000000001
2017-03-03,10.4
2017-03-04,6.600000000000001
2017-03-05,5.0
2017-03-06,6.4
2017-03-07,6.4
2017-03-08,6.4
2017-03-09,6.4
2017-03-10,15.0
2017-03-11,10.0
2017-03-12,5.800000000000001
2017-03-13,6.0
2017-03-14,4.200000000000001
2017-03-15,4.200000000000001
2017-03-16,5.0
2017-03-17,5.0
2017-03-18,7.600000000000001
2017-03-19,6.200000000000001
2017-03-20,5.0
2017-03-21,4.600000000000001
2017-03-22,4.600000000000001
2017-03-23,4.0
2017-03-24,4.0
2017-03-25,4.800000000000001
2017-03-26,4.200000000000001
2017-03-27,4.4
2017-03-28,3.200000000000001
2017-03-29,4.0
2017-03-30,2.4000000000000004
2017-03-31,3.200000000000001
2017-04-01,12.0
2017-04-02,11.25
2017-04-03,13.0
2017-04-04,13.5
2017-04-05,12.0
2017-04-06,12.5
2017-04-07,14.0
2017-04-08,11.5
2017-04-09,11.0
2017-04-10,12.0
2017-04-11,13.25
2017-04-12,12.75
2017-04-13,13.5
2017-04-14,10.5
2017-04-15,10.75
2017-04-16,11.0
2017-04-17,11.75
2017-04-18,14.5
2017-04-19,12.5
2017-04-20,12.25
2017-04-21,13.0
2017-04-22,11.5
2017-04-23,9.5
2017-04-24,11.25
2017-04-25,13.75
2017-04-26,15.5
2017-04-27,16.5
2017-04-28,16.75
2017-04-29,13.5
2017-04-30,14.25
2017-05-01,11.0
2017-05-02,10.952380952380953
2017-05-03,10.952380952380953
2017-05-04,10.428571428571429
2017-05-05,10.761904761904763
2017-05-06,11.047619047619047
2017-05-07,11.0
2017-05-08,10.857142857142858
2017-05-09,10.380952380952381
2017-05-10,10.571428571428571
2017-05-11,10.380952380952381
2017-05-12,10.333333333333334
2017-05-13,10.333333333333334
2017-05-14,10.571428571428571
2017-05-15,10.285714285714286
2017-05-16,10.428571428571429
2017-05-17,10.571428571428571
2017-05-18,10.666666666666668
2017-05-19,10.333333333333334
2017-05-20,10.238095238095239
2017-05-21,10.238095238095239
2017-05-22,8.952380952380953
2017-05-23,9.142857142857142
2017-05-24,8.714285714285715
2017-05-25,7.142857142857143
2017-05-26,8.476190476190476
2017-05-27,9.285714285714286
2017-05-28,9.857142857142858
2017-05-29,10.0
2017-05-30,9.904761904761905
2017-05-31,9.904761904761905
2017-06-01,9.0
2017-06-02,8.625
2017-06-03,8.4375
2017-06-04,7.875
2017-06-05,8.625
2017-06-06,10.625
2017-06-07,9.1875
2017-06-08,9.1875
2017-06-09,9.3125
2017-06-10,8.6875
2017-06-11,9.0625
2017-06-12,10.5
2017-06-13,9.375
2017-06-14,9.3125
2017-06-15,10.5
2017-06-16,9.0
2017-06-17,8.125
2017-06-18,7.8125
2017-06-19,8.25
2017-06-20,8.375
2017-06-21,8.9375
2017-06-22,8.5
2017-06-23,8.0625
2017-06-24,7.9375
2017-06-25,7.9375
2017-06-26,8.625
2017-06-27,9.25
2017-06-28,8.6875
2017-06-29,7.875
2017-06-30,7.5625
2017-07-01,16.0
2017-07-02,16.291666666666668
2017-07-03,16.09722222222222
2017-07-04,16.194444444444446
2017-07-05,16.77777777777778
2017-07-06,16.583333333333336
2017-07-07,16.38888888888889
2017-07-08,16.194444444444446
2017-07-09,15.805555555555557
2017-07-10,16.875
2017-07-11,16.97222222222222
2017-07-12,17.069444444444446
2017-07-13,16.77777777777778
2017-07-14,16.583333333333336
2017-07-15,17.26388888888889
2017-07-16,17.75
2017-07-17,17.458333333333336
2017-07-18,17.65277777777778
2017-07-19,17.36111111111111
2017-07-20,18.430555555555557
2017-07-21,17.84722222222222
2017-07-22,17.069444444444446
2017-07-23,17.069444444444446
2017-07-24,16.875
2017-07-25,17.555555555555557
2017-07-26,17.36111111111111
2017-07-27,17.069444444444446
2017-07-28,17.65277777777778
2017-07-29,16.680555555555557
2017-07-30,16.583333333333336
2017-07-31,17.555555555555557
2017-08-01,15.0
2017-08-02,14.15151515151515
2017-08-03,13.545454545454545
2017-08-04,13.424242424242424
2017-08-05,13.878787878787879
2017-08-06,13.454545454545453
2017-08-07,13.575757575757574
2017-08-08,13.848484848484848
2017-08-09,13.818181818181817
2017-08-10,13.424242424242424
2017-08-11,13.636363636363635
2017-08-12,13.969696969696969
2017-08-13,14.454545454545453
2017-08-14,14.787878787878787
2017-08-15,14.606060606060606
2017-08-16,14.121212121212121
2017-08-17,14.09090909090909
